,รายการ (Lists),สถานะ (Status),ผู้ตรวจสอบ (Inspector),ข้อแนะนำ/แก้ไข
,1) โครงสร้างเล่มรายงาน,,,
1,หน้าปกภาษาไทย,สำเร็จ,,
2,หน้าปกภาษาอังกฤษ,สำเร็จ,,
3,จดหมายขอนำส่งรายงานการปฏิบัติงานสหกิจศึกษา,ไม่มี,,
4,ใบรับรองรายงานผลการปฏิบัติงานสหกิจศึกษา,สำเร็จ,,
5,ใบรับรองและอนุญาตให้เผยแพร่รายงานปฏิบัติงานสหกิจศึกษา (IN-C005),สำเร็จ,,
6,กิตติกรรมประกาศ (เริ่มหน้า ก),สำเร็จ,,
7,บทคัดย่อ (หน้า ข),สำเร็จ,,
8,สารบัญ,สำเร็จ,,
9,สารบัญรูปภาพ,สำเร็จ,,
10,สารบัญตาราง,สำเร็จ,,
11,บทที่ 1 – บทที่ 5,สำเร็จ,,
12,บรรณานุกรม,สำเร็จ,,
13,ภาคผนวก,สำเร็จ,,
14,ภาคผนวก ก รายงานการปฏิบัติงานสหกิจศึกษา,สำเร็จ,,
15,ภาคผนวก ข ใบนำส่งและเอกสารสหกิจที่เกี่ยวข้อง,ไม่มี,,
16,"ภาคผนวก ค ข้อมูลอื่นๆ (เช่น พจนานุกรมข้อมูล , ใบลงเวลาทำงาน, ภาพประกอบ)",ไม่มี,,
17,ประวัติย่อของผู้ปฏิบัติงาน,สำเร็จ,,
18,บทที่ 1 - 1.1 ข้อมูลของสถานประกอบการ ,สำเร็จ,,
19,"    1.1.1  สถานที่ตั้งสถานประกอบการ 
    1.1.2  ผลิตภัณฑ์ ผลิตผลหรือการให้บริการ
    1.1.3  ตำแหน่งงานและลักษณะงานที่ได้รับมอบหมาย
    1.1.4  ข้อมูลพนักงานที่ปรึกษาสหกิจศึกษา
    1.1.5  ระยะเวลาการปฏิบัติงาน",สำเร็จ,,
20,1.2 ปัญหาหรือความจำเป็นในการปฏิบัติงานสหกิจศึกษา,สำเร็จ,,
21,1.3 วัตถุประสงค์ของโครงงานสหกิจศึกษาที่ได้รับมอบหมาย,สำเร็จ,,
22,1.4 เครื่องมือที่ใช้ในการพัฒนา,ไม่มี,,เนื้อหาอยู่ในบทที่ 3 แทน (การเลือกใช้เทคโนโลยีและเครื่องมือ)
23,1.5 ขอบเขตของงานสหกิจศึกษาและข้อจำกัดของปัญหา,สำเร็จ,,
24,1.6 แผนในการปฏิบัติงานสหกิจศึกษา,สำเร็จ,,
25,1.7 ดัชนีชี้วัดความสำเร็จของการปฏิบัติงานสหกิจศึกษา,ไม่มี,,
26,บทที่ 2 ,สำเร็จ,,
27,2.1 นิยามศัพท์,สำเร็จ,,
28,2.2 งานวิจัยหรือบทความที่เกี่ยวข้อง,สำเร็จ,,
29,2.3 ระบบสารสนเทศที่เกี่ยวข้อง (ถ้ามี),ไม่มี,,
30,2.4 ขั้นตอนการทำงานของระบบเดิม (ถ้ามี),ไม่มี,,
31,2.5 เครื่องมือและเทคโนโลยีที่ใช้ในการปฏิบัติงาน,สำเร็จ,,อยู่ในบทที่ 3 หัวข้อ "การเลือกใช้เทคโนโลยีและเครื่องมือ"
,บทที่ 3 ตำแหน่งนักพัฒนาระบบหรือตำแหน่งที่เกี่ยวข้อง,สำเร็จ,,
32,3.1 วิเคราะห์และออกแบบระบบ,สำเร็จ,,
33,3.1.1  แผนภาพยูสเคส (Use Case Diagram),ไม่มี,,
34,3.1.2  คำอธิบายแผนภาพยูสเคส (Use Case Description) เขียนในส่วนของการทำงานปกติ (Normal Flow,ไม่มี,,
35,3.1.3  แผนภาพกิจกรรม (Activity Diagram),ไม่มี,,
36,3.1.4  แผนภาพลำดับกิจกรรม (Sequence Diagram),ไม่มี,,
37,3.1.5  แผนภาพแสดงความสัมพันธ์ของคลาส (Class Diagram),ไม่มี,,
38,3.1.6  แผนภาพแสดงความสัมพันธ์ของกลุ่มข้อมูล (Entity Relationship Diagram),สำเร็จ,,
,บทที่ 3 ตำแหน่งนักทดสอบระบบ,ไม่มี,,
39,3.1 การวิเคราะห์และออกแบบการทดสอบระบบ,ไม่มี,,
40,3.1.1 Flow ขั้นตอนการดำเนินงาน,ไม่มี,,
41,3.1.2 เอกสารออกแบบกรณีการทดสอบ (Test Case),ไม่มี,,
42,3.1.3 เอกสารขั้นตอนการทดสอบ (Test Script),ไม่มี,,
,บทที่ 3 ตำแหน่งวิศวกรสนับสนุน,ไม่มี,,
43,3.1 Flow ขั้นตอนการดำเนินงาน,ไม่มี,,
44,3.2 อธิบายถึงขั้นตอนกระบวนการดำเนินงานตามที่ได้รับมอบหมาย ,ไม่มี,,
,บทที่ 4 นักพัฒนาซอฟต์แวร์,สำเร็จ,,
45,4.1 ผลการปฏิบัติงานสหกิจศึกษา : นักพัฒนาซอฟต์แวร์ แสดงหน้าจอระบบที่เกี่ยวข้องกับการทำงาน ,สำเร็จ,,
46,4.1 ผลการปฏิบัติงานสหกิจศึกษา : วิศวกรสนับสนุน ผลสัมฤทธิ์ในด้านต่างๆ สรุปเป็นตัวเลขทางสถิติ และมีการวิเคราะห์ผล,ไม่มี,,
47,4.1 ผลการปฏิบัติงานสหกิจศึกษา : นักทดสอบซอฟต์แวร์ ผลสัมฤทธิ์ในด้านต่างๆ สรุปเป็นตัวเลขทางสถิติ และมีการวิเคราะห์ผล,ไม่มี,,
,บทที่ 5,สำเร็จ,,
48,5.1 สรุปผลการปฏิบัติงานสหกิจศึกษา,สำเร็จ,,
49,5.2 ประโยชน์ของการทำโครงงานสหกิจศึกษา,สำเร็จ,,
50,5.3 ข้อดีของการปฏิบัติงานสหกิจศึกษา,สำเร็จ,,
51,5.4 ปัญหา อุปสรรคในการปฏิบัติงานสหกิจศึกษา และแนวทางการแก้ปัญหา,สำเร็จ,,
52,5.5 ข้อเสนอแนะ,สำเร็จ,,
53,บรรณานุกรม,สำเร็จ,,
54,ภาคผนวก ก รายงานการปฏิบัติงานสหกิจศึกษา,สำเร็จ,,
55,ภาคผนวก ข ใบนำส่งและเอกสารสหกิจที่เกี่ยวข้อง,ไม่มี,,
56,ภาคผนวก ค เอกสารอื่นๆ เช่น พจนานุกรมข้อมูล หรือคู่มือการใช้งานระบบ,ไม่มี,,
57,ประวัติย่อ,สำเร็จ,,
